subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
lr,1.0,0.5,1.9965,0.2473,2.2049,0.2238,0.2250,0.1918
lr,1.0,0.05,0.4595,0.8322,2.9939,0.4816,0.8311,0.4798
lr,1.0,0.005,0.8664,0.7001,1.4922,0.5160,0.6990,0.5141
lr,1.0,0.0005,1.4506,0.4914,1.4970,0.4713,0.4867,0.4663
lr,2.0,0.5,2.3642,0.2717,2.8286,0.2461,0.2471,0.2109
lr,2.0,0.05,0.4785,0.8264,2.9861,0.4727,0.8257,0.4697
lr,2.0,0.005,0.8768,0.6978,1.4691,0.5209,0.6959,0.5195
lr,2.0,0.0005,1.4500,0.4934,1.4957,0.4766,0.4889,0.4718
lr,3.0,0.5,2.0372,0.2504,2.2932,0.2294,0.2170,0.1879
lr,3.0,0.05,0.4574,0.8334,2.9869,0.4771,0.8329,0.4749
lr,3.0,0.005,0.8753,0.6987,1.4968,0.5123,0.6979,0.5120
lr,3.0,0.0005,1.4451,0.4919,1.4991,0.4709,0.4876,0.4658
