subject,times,subelements,learning_rates,val_loss_per_epochs,train_acc_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
mini_batch,1.0,1,lr_1,3.3715,0.7546,0.4679,0.7558,0.4690
mini_batch,1.0,256,lr_256,1.8002,0.7773,0.5014,0.7765,0.5002
mini_batch,1.0,512,lr_512,1.4964,0.6954,0.5142,0.6938,0.5118
mini_batch,1.0,1024,lr_1024,1.3799,0.6237,0.5251,0.6209,0.5227
mini_batch,2.0,1,lr_1,3.2733,0.7466,0.4577,0.7483,0.4596
mini_batch,2.0,256,lr_256,1.7955,0.7792,0.5074,0.7786,0.5068
mini_batch,2.0,512,lr_512,1.4688,0.7010,0.5190,0.6984,0.5164
mini_batch,2.0,1024,lr_1024,1.3935,0.6211,0.5135,0.6185,0.5113
mini_batch,3.0,1,lr_1,3.4248,0.7502,0.4653,0.7519,0.4672
mini_batch,3.0,256,lr_256,1.8193,0.7760,0.5078,0.7740,0.5045
mini_batch,3.0,512,lr_512,1.4760,0.6989,0.5183,0.6973,0.5168
mini_batch,3.0,1024,lr_1024,1.3922,0.6258,0.5204,0.6227,0.5169
