subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
dropout_prob,1.0,0.5,1.6851,0.4861,1.6960,0.4774,0.4774,0.4688
dropout_prob,1.0,0.7,1.3898,0.5521,1.4438,0.5211,0.5471,0.5161
dropout_prob,1.0,0.9,1.0823,0.6332,1.2902,0.5437,0.6305,0.5405
dropout_prob,1.0,1,0.8798,0.6977,1.4581,0.5261,0.6975,0.5260
dropout_prob,2.0,0.5,1.6846,0.4832,1.6969,0.4753,0.4732,0.4651
dropout_prob,2.0,0.7,1.3909,0.5509,1.4489,0.5159,0.5450,0.5102
dropout_prob,2.0,0.9,1.0862,0.6318,1.2906,0.5498,0.6288,0.5470
dropout_prob,2.0,1,0.8773,0.6994,1.4751,0.5195,0.6981,0.5185
dropout_prob,3.0,0.5,1.6804,0.4869,1.6926,0.4757,0.4767,0.4657
dropout_prob,3.0,0.7,1.3901,0.5506,1.4435,0.5224,0.5450,0.5164
dropout_prob,3.0,0.9,1.0896,0.6320,1.2946,0.5469,0.6289,0.5427
dropout_prob,3.0,1,0.8861,0.6962,1.4790,0.5152,0.6939,0.5121
