subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
weight_decay,1.0,0,0.8759,0.6975,1.4854,0.5264,0.6961,0.5248
weight_decay,1.0,0.02,1.5747,0.4500,1.5772,0.4505,0.4411,0.4405
weight_decay,1.0,0.04,1.8255,0.3571,1.8219,0.3564,0.3349,0.3346
weight_decay,1.0,0.06,1.9687,0.2760,1.9672,0.2708,0.2121,0.2067
weight_decay,2.0,0,0.8739,0.6996,1.4733,0.5188,0.6975,0.5164
weight_decay,2.0,0.02,1.5728,0.4518,1.5765,0.4492,0.4432,0.4397
weight_decay,2.0,0.04,1.8249,0.3554,1.8215,0.3554,0.3312,0.3312
weight_decay,2.0,0.06,1.9686,0.2753,1.9673,0.2721,0.2117,0.2085
weight_decay,3.0,0,0.8667,0.7011,1.4793,0.5248,0.6997,0.5235
weight_decay,3.0,0.02,1.5723,0.4515,1.5757,0.4506,0.4425,0.4408
weight_decay,3.0,0.04,1.8253,0.3575,1.8218,0.3560,0.3350,0.3338
weight_decay,3.0,0.06,1.9698,0.2761,1.9684,0.2704,0.2117,0.2063
